ticker,name,currency,exchange,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,annual_eps,gross_profit
aeye,AudioEye Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,BB,Medium,BB,Medium,235,301,308,844,2022-04-16,BB,Medium,1362190,-0.91,22694000.0
afmd,Affimed NV,EUR,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,BB,Medium,BB,Medium,368,304,310,982,2022-04-16,BBB,High,1608390,0.0,0.0
afcg,AFC Gamma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,B,Medium,B,Medium,B,Medium,255,204,226,685,2022-06-10,B,Medium,1822523,0.0,0.0
afbi,Affinity Bancshares Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,B,Medium,B,Medium,200,207,200,607,2022-06-10,B,Medium,1823406,0.0,0.0
afrm,Affirm Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,BB,Medium,BB,Medium,225,335,335,895,2022-06-10,BB,Medium,1820953,-2.51,772835000.0
afib,Acutus Medical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,205,211,235,651,2022-06-10,B,Medium,1522860,-1.4,-1910000.0
agen,Agenus Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,290,245,300,835,2022-04-16,BB,Medium,1098972,-15.6,-99235000.0
afya,Afya Ltd,BRL,NASDAQ NMS - GLOBAL MARKET,OTHERS,B,Medium,B,Medium,B,Medium,290,203,205,698,2022-06-10,B,Medium,1771007,4.12,1469505000.0
agfy,Agrify Corp,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,A,High,BB,Medium,BB,Medium,540,361,305,1206,2022-06-10,A,High,1800637,-13532.849993,-31795000.0
agmh,AGM Group Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,205,204,210,619,2022-06-10,B,Medium,1705402,0.47,46588490.0
agio,Agios Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,520,303,325,1148,2022-04-16,BBB,High,1439222,-4.23,12536000.0
agnc,AGNC Investment Corp,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,BB,Medium,B,Medium,BB,Medium,382,242,305,929,2022-04-16,BBB,High,1423689,0.0,0.0
agri,AgriFORCE Growing Systems Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Food Products,A,High,B,Medium,BB,Medium,510,248,305,1063,2022-06-11,BBB,High,1826397,-35.6,0.0
agys,Agilysys Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,500,303,300,1103,2022-04-16,BBB,High,78749,0.18,101532000.0
ahco,Adapthealth Corp,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,210,211,235,656,2022-06-10,B,Medium,1725255,0.33,417426000.0
aib,AIB Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,B,Medium,B,Medium,BB,Medium,215,227,300,742,2022-05-24,B,Medium,1882963,0.0,0.0
adtn,ADTRAN Inc,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,A,High,BB,Medium,BB,Medium,510,308,300,1118,2022-04-16,BBB,High,926282,-0.03,327252000.0
adn,Advent Technologies Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,B,Medium,B,Medium,250,203,220,673,2022-04-20,B,Medium,1744494,-43.2,-744000.0
aip,Arteris Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,B,Medium,BB,Medium,500,286,300,1086,2022-06-07,BBB,High,1667011,-0.84,46097000.0
akro,Akero Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,250,246,305,801,2022-06-10,BB,Medium,1744659,0.0,0.0
airt,Air T Inc,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,B,Medium,B,Medium,BB,Medium,234,210,325,769,2022-04-16,BB,Medium,353184,3.78,39382000.0
akba,Akebia Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,200,218,215,633,2022-04-16,B,Medium,1517022,-0.51,206916000.0
airg,Airgain Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,A,High,BB,Medium,BB,Medium,500,300,330,1130,2022-04-16,BBB,High,1272842,-0.85,27972000.0
airs,Airsculpt Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,210,201,205,616,2022-06-11,B,Medium,1870940,-0.26,106013000.0
akam,Akamai Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,515,341,305,1161,2022-04-16,BBB,High,1086222,3.26,2232835000.0
akts,Akoustis Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,BB,Medium,BBB,High,222,302,428,952,2022-04-16,BBB,High,1584754,-1.09,-4137000.0
aktx,Akari Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,BB,Medium,225,216,305,746,2022-04-16,B,Medium,1541157,0.0,0.0
akya,Akoya Biosciences Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,A,High,BB,Medium,B,Medium,512,303,215,1030,2022-06-10,BBB,High,1711933,-1.87,43390000.0
alco,Alico Inc,USD,NASDAQ NMS - GLOBAL MARKET,Food Products,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-16,BBB,High,3545,1.65,-14765000.0
aldx,Aldeyra Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,231,261,235,727,2022-04-16,B,Medium,1341235,0.0,0.0
alec,Alector Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,240,277,300,817,2022-06-10,BB,Medium,1653087,0.0,0.0
algm,Allegro Microsystems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,B,Medium,542,314,250,1106,2022-06-10,BBB,High,866291,0.62,407460000.0
algn,Align Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,235,285,255,775,2022-04-16,BB,Medium,1097149,4.61,2633775000.0
algs,Aligos Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,210,222,235,667,2022-06-10,B,Medium,1799448,0.0,0.0
alhc,Alignment Healthcare LLC,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,B,Medium,BB,Medium,B,Medium,210,302,256,768,2022-06-10,BB,Medium,1832466,-0.83,184280000.0
alks,Alkermes Plc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BBB,High,BB,Medium,BB,Medium,415,302,333,1050,2022-04-16,BBB,High,1520262,-0.97,893727000.0
algt,Allegiant Travel Co,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,B,Medium,B,Medium,B,Medium,287,208,248,743,2022-04-16,B,Medium,1362468,0.14,340468000.0
alkt,Alkami Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,BB,Medium,B,Medium,280,305,260,845,2022-06-10,BB,Medium,1529274,-0.64,108324000.0
alny,Alnylam Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,BB,Medium,BB,Medium,331,346,325,1002,2022-04-16,BBB,High,1178670,-9.3,868601000.0
allt,Allot Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,508,324,310,1142,2022-04-16,BBB,High,1365767,-0.87,82906000.0
allo,Allogene Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,535,324,305,1164,2022-06-10,BBB,High,1737287,0.0,0.0
amat,Applied Materials Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,525,317,300,1142,2022-04-16,BBB,High,6951,7.44,11993000000.0
amd,Advanced Micro Devices Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,B,Medium,B,Medium,B,Medium,200,208,200,608,2022-04-16,B,Medium,2488,0.84,10603000000.0
avgo,Broadcom Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,B,Medium,B,Medium,B,Medium,210,212,200,622,2022-04-16,B,Medium,1730168,2.65,22095000000.0
anss,ANSYS Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,B,Medium,580,337,285,1202,2022-04-16,A,High,1013462,5.99,1814912000.0
amzn,Amazon.com Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,AA,Excellent,BB,Medium,BBB,High,668,305,460,1433,2022-04-16,A,High,1018724,-0.27,67640000000.0
aihs,Senmiao Technology Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,220,203,200,623,2022-06-10,B,Medium,1711012,-0.1,-2088195.0
apa,APA Corp (US),USD,NASDAQ NMS - GLOBAL MARKET,Energy,A,High,BB,Medium,BB,Medium,510,316,325,1151,2022-04-16,BBB,High,1841666,11.02,6255000000.0
biib,Biogen Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,BB,Medium,BB,Medium,380,303,364,1047,2022-04-16,BBB,High,875045,20.87,7895100000.0
bkng,Booking Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,558,306,310,1174,2022-06-10,BBB,High,1075531,0.0,0.0
cdns,Cadence Design Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,B,Medium,500,308,295,1103,2022-04-16,BBB,High,813672,3.09,3190095000.0
cdw,CDW Corp,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,B,Medium,B,Medium,225,209,200,634,2022-04-16,B,Medium,1402057,8.13,4686600000.0
chrw,CH Robinson Worldwide Inc,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,A,High,BB,Medium,BB,Medium,575,330,338,1243,2022-04-16,A,High,1043277,7.4,1870197000.0
cinf,Cincinnati Financial Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,B,Medium,B,Medium,B,Medium,235,275,250,760,2022-04-16,BB,Medium,20286,0.0,0.0
chtr,Charter Communications Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-16,BBB,High,1091667,30.74,29511000000.0
cmcsa,Comcast Corp,USD,NASDAQ NMS - GLOBAL MARKET,Media,A,High,BB,Medium,BB,Medium,507,343,315,1165,2022-04-16,BBB,High,1166691,1.21,83214000000.0
cprt,Copart Inc,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,B,Medium,B,Medium,B,Medium,270,204,205,679,2022-04-16,B,Medium,900075,1.13,1606221000.0
cost,Costco Wholesale Corp,USD,NASDAQ NMS - GLOBAL MARKET,Retail,A,High,BB,Medium,B,Medium,537,306,225,1068,2022-04-16,BBB,High,909832,13.14,27572000000.0
csx,CSX Corp,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,A,High,BB,Medium,BB,Medium,510,310,325,1145,2022-04-17,BBB,High,277948,1.95,5785000000.0
ctsh,Cognizant Technology Solutions Corp,USD,NASDAQ NMS - GLOBAL MARKET,Technology,AA,Excellent,BB,Medium,BB,Medium,605,365,300,1270,2022-04-16,A,High,1058290,4.41,6980000000.0
cme,CME Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,BB,Medium,B,Medium,B,Medium,375,237,200,812,2022-07-26,BB,Medium,1156375,7.4,4266300000.0
csco,Cisco Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,B,Medium,B,Medium,B,Medium,280,234,220,734,2022-06-11,B,Medium,858877,2.82,32248000000.0
ctas,Cintas Corp,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-16,BBB,High,723254,2.9125,3632246000.0
