ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,annual_eps,gross_profit
adus,Addus Homecare Corp,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/20ba9a37b3127f14370410e76dcf5f2e7db9e068cc08f2da0e740aa7aaa6bf52.png,https://addus.com/,B,Medium,B,Medium,B,Medium,210,215,218,643,2022-04-16,B,Medium,1468328,2.84,299739000.0
acgl,Arch Capital Group Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/8c4d69f6-80df-11ea-8233-00000000092a.png,https://www.archgroup.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-16,BBB,High,947484,0.0,0.0
adpt,Adaptive Biotechnologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/49f91794-80da-11ea-be7a-00000000092a.png,https://www.adaptivebiotech.com,B,Medium,BB,Medium,B,Medium,260,348,260,868,2022-04-16,BB,Medium,1478320,-1.4,127399000.0
adsk,Autodesk Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/99d251e4-80df-11ea-ad7f-00000000092a.png,https://www.autodesk.com/,A,High,BB,Medium,BB,Medium,555,304,310,1169,2022-04-16,BBB,High,769397,2.24,3968000000.0
adp,Automatic Data Processing Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/987cc1f6-80df-11ea-96e8-00000000092a.png,https://www.adp.com/,A,High,BB,Medium,B,Medium,500,300,200,1000,2022-07-25,BBB,High,8670,7.0,6584600000.0
adtx,Aditxt Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/278ebd47277db15b770d06958e2e2b981b0f75047d9485ef7fd67eabe0c557f0.png,https://aditxt.com/,B,Medium,B,Medium,BB,Medium,210,224,305,739,2022-06-10,B,Medium,1726711,-23884.8,166936.0
adv,Advantage Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/4191147864cd494d9602ea7d462b368568307c389e3447f9d958e091675fc1b7.png,https://advantagesolutions.net/,A,High,B,Medium,BB,Medium,515,269,328,1112,2022-04-20,BBB,High,1776661,-4.33,556559000.0
advm,Adverum Biotechnologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2a8c64fe-80d0-11ea-9f54-00000000092a.png,https://adverum.com/,B,Medium,BB,Medium,B,Medium,262,321,235,818,2022-04-16,BB,Medium,1501756,0.0,0.0
aehr,Aehr Test Systems,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/9a8fe21e-80df-11ea-8837-00000000092a.png,https://www.aehr.com/,B,Medium,B,Medium,BB,Medium,290,262,300,852,2022-04-16,BB,Medium,1040470,0.34,23665000.0
aehl,Antelope Enterprise Holdings Ltd,CNY,NASDAQ NMS - GLOBAL MARKET,Building,https://static.finnhub.io/logo/9a75e4385b34c0cb39ac72f06791b387f2ee941735bc144041b63d26403c5301.png,https://www.aehltd.com/,B,Medium,B,Medium,BB,Medium,238,237,325,800,2022-06-10,BB,Medium,1470683,-69.2,27916000.0
